"filename", "language", "Dart", "Markdown", "YAML", "C++", "CMake", "HTML", "Swift", "JSON", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, -13, -10, -89
"d:\uber\flutter-clean-architecture-uber\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"d:\uber\flutter-clean-architecture-uber\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\uber\flutter-clean-architecture-uber\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -3, -6, -24
"d:\uber\flutter-clean-architecture-uber\linux\main.cc", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\uber\flutter-clean-architecture-uber\linux\my_application.cc", "C++", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, -11, -20, -105
"d:\uber\flutter-clean-architecture-uber\linux\my_application.h", "C++", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -7, -5, -19
"d:\uber\flutter-clean-architecture-uber\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, -3, -4, -27
"d:\uber\flutter-clean-architecture-uber\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
"d:\uber\flutter-clean-architecture-uber\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, -1, -69
"d:\uber\flutter-clean-architecture-uber\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, -1, -344
"d:\uber\flutter-clean-architecture-uber\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -4, -16
"d:\uber\flutter-clean-architecture-uber\pubspec.yaml", "YAML", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -52, -9, -102
"d:\uber\flutter-clean-architecture-uber\test\widget_test.dart", "Dart", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"d:\uber\flutter-clean-architecture-uber\web\index.html", "HTML", 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, -16, -6, -59
"d:\uber\flutter-clean-architecture-uber\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, -1, -36
"d:\uber\flutter-clean-architecture-uber\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, -59, 0, 0, 0, 0, 0, 0, -25, -18, -102
"d:\uber\flutter-clean-architecture-uber\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, -81, 0, 0, 0, 0, 0, 0, -13, -11, -105
"d:\uber\flutter-clean-architecture-uber\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -4, -5, -15
"d:\uber\flutter-clean-architecture-uber\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\uber\flutter-clean-architecture-uber\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -3, -6, -25
"d:\uber\flutter-clean-architecture-uber\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -12, -7, -40
"d:\uber\flutter-clean-architecture-uber\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"d:\uber\flutter-clean-architecture-uber\windows\runner\flutter_window.h", "C++", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"d:\uber\flutter-clean-architecture-uber\windows\runner\main.cpp", "C++", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"d:\uber\flutter-clean-architecture-uber\windows\runner\resource.h", "C++", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"d:\uber\flutter-clean-architecture-uber\windows\runner\utils.cpp", "C++", 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"d:\uber\flutter-clean-architecture-uber\windows\runner\utils.h", "C++", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"d:\uber\flutter-clean-architecture-uber\windows\runner\win32_window.cpp", "C++", 0, 0, 0, -183, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"d:\uber\flutter-clean-architecture-uber\windows\runner\win32_window.h", "C++", 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -1246, -4, -135, -502, -333, -37, -52, -248, -439, -103, -8, -417, -592, -4116
