"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\widgets\map_widgets\location_icon.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\widgets\map_widgets\location_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\widgets\map_widgets\results_of_search_text.dart", "Dart", 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 2, 37, 453
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\widgets\search_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\code_verification\logic\code_verification_logic.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\code_verification\view\code_verification.dart", "Dart", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 11, 198
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\complete_user_info\logic\complete_user_logic.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 2, 18, 97
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\complete_user_info\view\complete_user_info.dart", "Dart", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 5, 93
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\register_page\logic\register_page_logic.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\register_page\view\register_page.dart", "Dart", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 12, 181
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\widgets\custom_register_button.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 7, 85
